## [iView]
## Converted from:	I:\pp23671_task1.idf
## Date:	01.01.2019 17:13:17
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	50
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	30909                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	pp23671
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(448;512)
## Calibration Point 1:	Position(832;512)
## Calibration Point 2:	Position(256;204)
## Calibration Point 3:	Position(1024;204)
## Calibration Point 4:	Position(256;819)
## Calibration Point 5:	Position(1024;819)
## Calibration Point 6:	Position(640;204)
## Calibration Point 7:	Position(640;819)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVIEW
## Operating System :	5.1
## iView X Version:	2.4.33
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, QUALITY, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]	Timing	Pupil Confidence	Trigger	Frame	Aux1
35920531891	SMP	1	143.86	151.60	17.68	17.61	155.66	125.75	0.00	0.00	0	0	0		
35920551924	SMP	1	143.79	153.39	19.78	18.57	155.82	125.72	0.00	0.00	0	0	0		
35920571889	SMP	1	143.82	153.24	21.14	19.76	156.10	125.75	0.00	0.00	0	0	0		
35920591920	SMP	1	144.00	153.67	20.89	21.59	144.23	125.82	0.00	0.00	0	0	0		
35920611891	SMP	1	144.20	153.99	22.34	22.52	153.17	129.00	0.00	0.00	0	0	0		
35920631923	SMP	1	144.16	154.28	22.31	22.60	155.93	125.74	0.00	0.00	0	0	0		
35920651888	SMP	1	143.98	154.68	21.20	22.67	156.72	125.68	0.00	0.00	0	0	0		
35920671919	SMP	1	144.08	154.92	21.49	22.74	174.41	159.09	0.00	0.00	0	0	0		
35920691888	SMP	1	143.94	154.98	21.72	22.59	142.17	126.57	0.00	0.00	0	0	0		
35920711920	SMP	1	144.15	155.08	21.46	22.69	156.13	126.17	0.00	0.00	0	0	0		
35920731883	SMP	1	143.93	155.09	21.63	22.74	156.64	125.67	0.00	0.00	0	0	0		
35920751920	SMP	1	144.06	154.95	21.50	22.71	174.56	159.27	0.00	0.00	0	0	0		
35920771884	SMP	1	143.91	154.71	21.66	23.65	174.26	158.48	0.00	0.00	0	0	0		
35920791920	SMP	1	144.11	154.45	23.06	23.63	174.57	158.86	0.00	0.00	0	0	0		
35920811884	SMP	1	143.95	154.33	21.44	22.63	154.37	128.40	0.00	0.00	0	0	0		
35920831918	SMP	1	143.84	154.36	21.71	23.60	157.02	125.63	0.00	0.00	0	0	0		
35920851883	SMP	1	144.20	154.59	22.46	23.66	153.46	128.63	0.00	0.00	0	0	0		
35920871915	SMP	1	144.29	154.78	21.60	23.60	174.50	159.46	0.00	0.00	0	0	0		
35920891880	SMP	1	144.12	154.69	21.66	23.56	174.51	159.23	0.00	0.00	0	0	0		
35920911912	SMP	1	144.43	154.58	22.31	23.60	174.58	159.11	0.00	0.00	0	0	0		
35920931882	SMP	1	144.14	154.39	21.54	22.67	174.48	158.21	0.00	0.00	0	0	0		
35920951912	SMP	1	144.39	153.64	20.48	18.77	173.56	157.62	0.00	0.00	0	0	0		
35920971883	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35920991911	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921011880	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921031911	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921051881	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921071910	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921091877	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921111908	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921131878	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921151908	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921171876	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921191906	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921211875	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35921231904	SMP	1	142.50	150.81	14.46	15.60	155.66	125.59	0.00	0.00	0	0	0		
35921251874	SMP	1	142.37	150.83	18.43	17.66	90.00	124.00	0.00	0.00	0	0	0		
35921271908	SMP	1	142.20	152.14	18.45	19.47	155.44	125.78	0.00	0.00	0	0	0		
35921291872	SMP	1	142.36	152.05	19.83	19.61	152.28	128.20	0.00	0.00	0	0	0		
35921311908	SMP	1	142.81	152.26	20.20	20.51	155.40	125.60	0.00	0.00	0	0	0		
35921331872	SMP	1	142.54	152.26	19.47	19.59	153.09	128.00	0.00	0.00	0	0	0		
35921351907	SMP	1	142.52	152.25	19.72	20.55	152.95	128.27	0.00	0.00	0	0	0		
